#node	identifier	domain_summary_url	annotation	other_names_and_aliases
CG12896	7227.FBpp0087406	https://smart.embl.de/smart/DDvec.cgi?smart=220:Pfam_AhpC-TSA(3|141)+Pfam_1-cysPrx_C(161|201)+	DI01187p; Peroxiredoxin activity. It is involved in the biological process described with: oxidation-reduction process; mesoderm development	36101,61919,A1Z893,A1Z893_DROME,AAF58796.2,AAL68257.1,ADY17712.1,AI295432,AI945346,AOP2-related,AY075444,BEST:LD11278,BI165577,BT126013,CG12896,CG12896-PA,CG12896-RA,DI01187p,DPx-2540-1 variant,DmelCG12896,Dmel_CG12896,FBan0012896,FBgn0033521,FBgn0040497,FBpp0087406,FBtr0088315,NM_136740,NM_136740.3,NP_610584,NP_610584.2,RH54193,UPI0000075F9B,dme:Dmel_CG12896,uncharacterized protein
CG16713	7227.FBpp0077236	https://smart.embl.de/smart/DDvec.cgi?smart=82:SIGNAL(1|19)+KU(23|81)+	RH15675p; Serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: lateral inhibition	33591,AAF51077.1,ACN63497.1,ACN63498.1,BT072875,BT072876,CG16713,CG16713-PA,CG16713-RA,CT37195,DmelCG16713,Dmel_CG16713,FBan0016713,FBgn0031560,FBpp0077236,FBtr0077547,NM_134955,NM_134955.2,NP_608799,NP_608799.1,Q9VQT7,Q9VQT7_DROME,RH15675p,RH15676p,UPI000007FB8F,dme:Dmel_CG16713,uncharacterized protein
CG17840	7227.FBpp0077133	https://smart.embl.de/smart/DDvec.cgi?smart=858:Pfam_Syja_N(85|407)+	FIG4 phosphoinositide 5-phosphatase; Phosphoric ester hydrolase activity	33658,AAF51002.1,AAL13952.1,AI514800,AW943848,AY058723,CG17840,CG17840-PA,CG17840-RA,CZ490449,DmelCG17840,Dmel_CG17840,FBan0017840,FBgn0031611,FBpp0077133,FBtr0077443,FIG4,FIG4 phosphoinositide 5-phosphatase,LD46494p,NM_134997,NM_134997.3,NP_608841,NP_608841.1,Q9VR06,Q9VR06_DROME,UPI000008266D,dFIG4,dme:Dmel_CG17840
CG18190	7227.FBpp0271746	https://smart.embl.de/smart/DDvec.cgi?smart=248:Pfam_CH(17|121)+COIL(152|182)+	FI16628p1; Microtubule binding	37179,A1ZBF1,A1ZBF1_DROME,AAF57623.2,ACP28224.1,AEV12234.1,BT082063,BT132859,C3KGJ8,CG18190,CG18190-PB,CG18190-RB,CS133179,CZ488136,DmelCG18190,Dmel_CG18190,FBan0018190,FBgn0034403,FBpp0271746,FBtr0273238,FI16628p1,NM_137540,NM_137540.2,NP_611384,NP_611384.2,UPI000191486B,dme:Dmel_CG18190,uncharacterized protein
CG2233	7227.FBpp0305502	https://smart.embl.de/smart/DDvec.cgi?smart=415:SIGNAL(1|18)+	annotation not available	31721,58192,AAF46311.1,AAL13658.1,AI389585,AY058429,CG2233,CG2233-PA,CG2233-PB,CG2233-PC,CG2233-RA,CG2233-RB,CG2233-RC,DmelCG2233,Dmel_CG2233,FBan0002233,FBgn0029990,FBpp0071075,FBpp0305502,FBpp0305503,FBtr0071123,FBtr0333310,FBtr0333311,GH20802p,NM_132205,NM_132205.2,NP_572433,NP_572433.1,Q9W3L4,Q9W3L4_DROME,UPI0000074AD2,dme:Dmel_CG2233
CG31635	7227.FBpp0303614	https://smart.embl.de/smart/DDvec.cgi?smart=1805:LRR(357|384)+LRR(416|443)+LRR(444|471)+LRR(1001|1028)+LRR(1057|1084)+LRR(1087|1114)+	annotation not available	33928,60083,A1A6R3,A8DYW2,AA802113,AAF52412.2,AAL28423.1,AAY55824.1,ABL75643.1,ABV53636.1,AY060875,BF486450,BF502783,BT023408,BT029584,BcDNA:GM03875,CG13768,CG13768-RA,CG13769,CG31635,CG31635-PA,CG31635-PB,CG31635-PC,CG31635-PD,CG31635-PE,CG31635-PF,CG31635-PG,CG31635-PH,CG31635-RA,CG31635-RB,CG31635-RC,CG31635-RD,CG31635-RE,CG31635-RF,CG31635-RG,CG31635-RH,CG:2L.3:tmp:26-RA,CT33252,CZ479872,CZ479873,CZ480431,CZ486750,DmelCG31635,Dmel_CG31635,FBan0031635,FBgn0031840,FBgn0031841,FBgn0047282,FBgn0051635,FBpp0078955,FBpp0112322,FBpp0303614,FBpp0303615,FBpp0303616,FBpp0303617,FBpp0303618,FBpp0303619,FBtr0079326,FBtr0113410,FBtr0331187,FBtr0331188,FBtr0331189,FBtr0331190,FBtr0331191,FBtr0331192,M9PCB8,M9PCB8_DROME,NM_001103632,NM_001103632.1,NM_164696,NM_164696.1,NP_001097102,NP_001097102.1,NP_001260135.1,NP_723197,NP_723197.1,Q9VMA9,UPI0000080E46,UPI00015CFD88,Uncharacterized protein, isoform C,dme:Dmel_CG31635,uncharacterized protein, isoform B
CG33099	7227.FBpp0083681	https://smart.embl.de/smart/DDvec.cgi?smart=331:Pfam_DIOX_N(20|130)+Pfam_2OG-FeII_Oxy(177|288)+	LD12611p; Gibberellin 20-oxidase activity. It is involved in the biological process described with: oxidation-reduction process; Belongs to the iron/ascorbate-dependent oxidoreductase family	326254,77504,AA438352,AAO41588.1,ACH92531.1,AW942239,AX094099,BT044466,CG33099,CG33099-PA,CG33099-RA,CG5340,CZ479578,DmelCG33099,Dmel_CG33099,FBan0033099,FBgn0038982,FBgn0053099,FBpp0083681,FBtr0084288,LD12611p,NM_176537,NM_176537.1,NP_788714,NP_788714.1,Q86B83,Q86B83_DROME,UPI00000075FC,dme:Dmel_CG33099,uncharacterized protein
CG34215	7227.FBpp0111323	https://smart.embl.de/smart/DDvec.cgi?smart=104:SIGNAL(1|21)+SVWC(37|103)+	annotation not available	5740170,A8DY49,A8DY49_DROME,A9UNH4,ABV53708.1,ABY21751.1,BT031338,CG34215,CG34215-PA,CG34215-RA,DmelCG34215,Dmel_CG34215,FBgn0085244,FBpp0111323,FBtr0112408,GEO11311p1,NM_001103734,NM_001103734.1,NP_001097204,NP_001097204.1,UPI00004C4E84,dme:Dmel_CG34215,uncharacterized protein
CG3792	7227.FBpp0078636	https://smart.embl.de/smart/DDvec.cgi?smart=252:CTNS(51|82)+CTNS(162|193)+	Mannose-P-dolichol utilization defect 1 protein homolog; It is involved in the biological process described with: protein glycosylation	33717,59901,AAF52190.2,AAO45206.1,AF171765,BI484943,BT004850,CG3792,CG3792-PA,CG3792-RA,CZ472654,DmelCG3792,FBan0003792,FBgn0027670,FBgn0031662,FBpp0078636,FBtr0078997,MPU1_DROME,NM_135045,NM_135045.2,NP_608889,NP_608889.1,Q9VMW8,UPI000000C4C6,anon-EST:Posey8,dme:Dmel_CG3792
CG43090	7227.FBpp0293416	http://smart.embl.de/smart/DDt.cgi?smart=169:	annotation not available	12798122,AFH07260,CG43090,CG43090-PA,CG43090-RA,DmelCG43090,Dmel_CG43090,FBgn0262536,FBpp0293416,FBtr0304876,M9NFY9,M9NFY9_DROME,NM_001258617,NM_001258617.1,NP_001245546,NP_001245546.1,UPI000237F738,Uncharacterized protein,dme:Dmel_CG43090,uncharacterized protein
CG4406	7227.FBpp0070333	https://smart.embl.de/smart/DDvec.cgi?smart=355:SIGNAL(1|24)+Pfam_Peptidase_C13(46|291)+	Putative GPI-anchor transamidase; Mediates GPI anchoring in the endoplasmic reticulum, by replacing a protein's C-terminal GPI attachment signal peptide with a pre-assembled GPI. During this transamidation reaction, the GPI transamidase forms a carbonyl intermediate with the substrate protein (By similarity)	2.6.-.-,31163,AAF45703.2,AAL89972.1,AL009192,AY089234,BF494091,C13.005,CAA15687.1,CG4406,CG4406-PA,CG4406-RA,DmelCG4406,EC 2.6.-.-,EG:133E12.3,FBan0004406,FBgn0023545,FBpp0070333,FBtr0070347,GPI8_DROME,NM_130612,NM_130612.3,NP_569968,NP_569968.2,O46047,PIG-K,Putative GPI-anchor transamidase,Q8T4E1,Q9W538,UPI00000071C1,dme:Dmel_CG4406
CG5377	7227.FBpp0083686	https://smart.embl.de/smart/DDvec.cgi?smart=278:Pfam_Abhydrolase_6(45|269)+	MIP26861p; Serine hydrolase activity	3.1.-.-,42645,AAF56005.1,AAM51120.1,ACH92416.1,ADN90227.1,AY119260,BI639973,BT044351,BT125667,CG5377,CG5377-PA,CG5377-RA,DmelCG5377,Dmel_CG5377,EC 3.1.-.-,FBan0005377,FBgn0038974,FBpp0083686,FBtr0084293,FI07666p,MIP26861p,NM_142795,NM_142795.3,NP_651052,NP_651052.1,Q8MRU8,Q9VD00,Q9VD00_DROME,S33.A92,UPI00000826ED,dme:Dmel_CG5377
CG6191	7227.FBpp0303467	https://smart.embl.de/smart/DDvec.cgi?smart=728:CYCLIN(617|704)+	CG6191, isoform B; Cyclin-dependent protein serine/threonine kinase regulator activity. It is involved in the biological process described with: phagocytosis; regulation of cell cycle; regulation of cell division; regulation of imaginal disc-derived wing size	36513,62268,A0A0B4KEN8,A0A0B4KEN8_DROME,A1Z9G1,AAD38609.1,AAF58349.1,AF145634,AFH41847.1,AI106930,AI402040,BT133388,BcDNA:GH06193,CG6191,CG6191, isoform B,CG6191-PA,CG6191-PB,CG6191-PC,CG6191-RA,CG6191-RB,CG6191-RC,CW848204,CZ473411,CZ478752,CZ481534,CZ482948,DmelCG6191,Dmel_CG6191,Dromel_CG6191_FBtr0087678_mORF,FBan0006191,FBgn0027581,FBpp0086798,FBpp0303467,FBpp0303468,FBtr0087678,FBtr0330617,FBtr0330618,NM_137046,NM_137046.4,NP_001260957,NP_001260957.1,NP_610890,NP_610890.2,Q9Y138,UPI0000077DE5,UPI00004ABF5A,dme:Dmel_CG6191,unnamed
CG6337	7227.FBpp0086772	https://smart.embl.de/smart/DDvec.cgi?smart=340:SIGNAL(1|18)+Inhibitor_I29(28|88)+Pept_C1(112|337)+	CG6337, isoform A; Cysteine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase C1 family	36530,62285,AAG22272.1,AAL89861.1,AY084123,BI214285,CG6337,CG6337, isoform A,CG6337, isoform B,CG6337-PA,CG6337-PB,CG6337-RA,DmelCG6337,Dmel_CG6337,FBan0006337,FBgn0033873,FBpp0086772,FBtr0087646,NM_137061,NM_137061.2,NP_001286395,NP_001286395.1,NP_610905,NP_610905.1,Q7JYA0,Q7JYA0_DROME,RE20049p,UPI0000076588,dme:Dmel_CG6337
CG8329	7227.FBpp0076116	https://smart.embl.de/smart/DDvec.cgi?smart=259:SIGNAL(1|17)+Tryp_SPc(34|250)+	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family	39123,64514,AAF50233.1,AAK77244.1,AAY55142.1,AI114405,AI513126,AY047512,BT022726,CG8329,CG8329-PA,CG8329-RA,DmelCG8329,Dmel_CG8329,FBan0008329,FBgn0036022,FBpp0076116,FBtr0076387,NM_140082,NM_140082.2,NP_648339,NP_648339.1,Q4V5D0,Q961W8,Q9VT23,Q9VT23_DROME,S01.B02,SP170,UPI0000083464,dme:Dmel_CG8329
CG8628	7227.FBpp0076623	https://smart.embl.de/smart/DDvec.cgi?smart=84:Pfam_ACBP(2|81)+	CG8628, isoform A; Enzyme inhibitor activity; diazepam binding; fatty-acyl-CoA binding. It is involved in the biological process described with: cellular acyl-CoA homeostasis	38783,AAF50608.2,ACE82579.1,ACZ94637.1,B3LF68,BT033056,CB305258,CG8628,CG8628, isoform A,CG8628, isoform B,CG8628-PA,CG8628-PB,CG8628-RA,CG8628-RB,DmelCG8628,Dmel_CG8628,FBan0008628,FBgn0035744,FBgn0066925,FBgn0250836,FBpp0076623,FBpp0290436,FBtr0076914,FBtr0301218,NM_001169895,NM_001169895.1,NM_139826,NM_139826.3,NP_001163366,NP_001163366.1,NP_648083,NP_648083.1,Q9VS22,Q9VS22_DROME,UPI000007873F,anon-SAGE:Wang-073,dme:Dmel_CG8628
CG9344	7227.FBpp0071449	https://smart.embl.de/smart/DDvec.cgi?smart=79:Sm(9|74)+	RE43665p; Associated with the spliceosome snRNP U1, U2, U4/U6 and U5	37372,63013,AAF46645.1,AAM29479.1,AY113474,BI357244,BcDNA:RE43665,CG9344,CG9344-PA,CG9344-RA,DmelCG9344,Dmel_CG9344,FBan0009344,FBgn0034564,FBgn0063016,FBpp0071449,FBtr0071520,NM_137684,NM_137684.2,NP_611528,NP_611528.1,Q9W2P5,Q9W2P5_DROME,RE43665p,UPI000007C791,dme:Dmel_CG9344
CG9463	7227.FBpp0079346	https://smart.embl.de/smart/DDvec.cgi?smart=1003:SIGNAL(1|23)+Pfam_Glyco_hydro_38(38|352)+Alpha-mann_mid(357|433)+Pfam_Glyco_hydro_38C(480|999)+	Alpha-mannosidase; Zinc ion binding; alpha-mannosidase activity; carbohydrate binding. It is involved in the biological process described with: mannose metabolic process	3.2.1.24,34203,60319,AAF52708.2,AAL48871.2,AY071249,Alpha-mannosidase,BI232863,CG9463,CG9463-PA,CG9463-PB,CG9463-RA,DmelCG9463,Dmel_CG9463,EC 3.2.1.24,FBan0009463,FBgn0032066,FBpp0079346,FBtr0079744,LManIII,NM_135406,NM_135406.3,NP_001285762,NP_001285762.1,NP_609250,NP_609250.2,Q8SYY1,Q9VLI2,Q9VLI2_DROME,UPI0000077ED9,dme:Dmel_CG9463,lysosomal alpha-mannosidase III, isoform B
COX6B	7227.FBpp0074584	https://smart.embl.de/smart/DDvec.cgi?smart=96:Pfam_COX6B(32|93)+	Cytochrome c oxidase subunit; This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	32989,59284,AAF49015.2,AAN09513.1,AAN09514.1,ACM16752.1,ACO06074.1,ACO72858.1,AFH07479,AI113341,AI945180,BT058032,BT072997,BT082021,C1C592,CG14235,CG14235-PA,CG14235-PB,CG14235-PC,CG14235-PD,CG14235-RA,CG14235-RB,CG14235-RC,CG14235-RD,COX6B,COX6B-PA,COX6B-PB,COX6B-PC,COX6B-PD,COXG,CcoVIb,CoVIb,CoVIb-PA,CoVIb-PB,CoVIb-PC,CoVIb-PD,CoVIb-RA,CoVIb-RB,CoVIb-RC,CoVIb-RD,Cox6b,Cytochrome c oxidase Polypeptide VIb,Cytochrome c oxidase VIb,Cytochrome c oxidase subunit,Cytochrome c oxidase subunit VIb,Cytochrome c oxidase subunitVIb,DmelCG14235,Dmel_CG14235,FBan0014235,FBgn0031066,FBgn0064130,FBpp0074584,FBpp0074585,FBpp0074586,FBpp0300889,FBtr0074815,FBtr0074816,FBtr0074817,FBtr0308683,NM_001258838,NM_001258838.1,NM_167678,NM_167678.2,NM_167679,NM_167679.2,NM_167680,NM_167680.2,NP_001245767,NP_001245767.1,NP_728294,NP_728294.1,NP_728295,NP_728295.1,NP_728296,NP_728296.1,Q8IQW2,Q9VWD1,Q9VWD1_DROME,Subunit VIb,UPI000007B827,UPI00000844EA,VIb,cytochrome c oxidase subunit 6B, isoform D,dme:Dmel_CG14235
Clic	7227.FBpp0304104	http://smart.embl.de/smart/DDt.cgi?smart=261:	Chloride intracellular channel	2YV7,32349,AAF48326.1,AAL13950.1,AI544077,AJ426897,AW943833,AY058721,CG10997,CG10997-PA,CG10997-PB,CG10997-RA,CG10997-RB,CL705879,CLIC,CZ472030,Chloride intracellular channel,Chloride intracellular channel, isoform A,Chloride intracellular channel, isoform C,Clic,Clic-PA,Clic-PB,Clic-RA,Clic-RB,DCLIC,DmCLIC,DmelCG10997,Dmel_CG10997,FBan0010997,FBgn0030529,FBgn0040150,FBpp0073666,FBpp0304104,FBtr0073835,FBtr0331715,LD46306p,M9PHS1,NM_132700,NM_132700.2,NP_001259537,NP_001259537.2,NP_572928,NP_572928.1,Q9VY78,Q9VY78_DROME,UPI0000081FE2,chloride intracellular channel, isoform C,clic,dme:Dmel_CG10997,l(1)G0053,l(1)G0053-RA,l(1)G0472
Cp15	7227.FBpp0076299	https://smart.embl.de/smart/DDvec.cgi?smart=115:Pfam_Chorion_2(17|115)+	Chorion protein S15; Chorion membrane (egg shell) protein; plays a role in protecting the egg from the environment	38999,64405,A4ULV6,A8E796,AAF50374.1,ABO71665.1,ABV82420.1,BT031038,C.s15,CAA26329.1,CAA29603.1,CG6519,CG6519-PA,CG6519-RA,CH15_DROME,Chorion Protein 15,Chorion prot 15,Chorion protein 15,Chorion protein S15,Cp15,Cp15-PA,Cp15-RA,Cs15,DmelCG6519,Dms15,E6,EF441624,FBan0006519,FBgn0000355,FBpp0076299,FBtr0076572,NM_079255,NM_079255.2,NP_523979,NP_523979.1,P07185,Q9VSP2,R02293,R02294,R02295,S15,Shell-15,UPI00001248D4,chorion protein 15,cp15,dme:Dmel_CG6519,melcp15,s-15,s15,s15 chorion gene,s15-1,unnamed
