#node	identifier	domain_summary_url	annotation	other_names_and_aliases
Art1	7227.FBpp0081780	https://smart.embl.de/smart/DDvec.cgi?smart=376:Pfam_Methyltransf_16(64|215)+	Histone methyltransferase activity; protein-arginine omega-N asymmetric methyltransferase activity; histone methyltransferase activity (H4-R3 specific); protein-arginine omega-N monomethyltransferase activity; protein-arginine N-methyltransferase activity. It is involved in the biological process described with: histone H4-R3 methylation; peptidyl-arginine methylation, to asymmetrical-dimethyl arginine; histone methylation	2.1.1.319,41295,66439,A0ANP8,AA950295,AAF54556.1,AAM11369.1,AM294285,AM294286,AM294287,AM294288,AM294289,AM294290,AM294291,AM294292,AM294293,AM294294,AM294295,AW942908,AY095041,Arginine methyltransferase 1,Art1,Art1-PA,Art1-RA,BZ665699,C0MJ37,CAL26189.1,CAL26190.1,CAL26191.1,CAL26206.1,CAL26207.1,CAL26208.1,CAL26209.1,CAL26210.1,CAL26211.1,CAL26212.1,CAL26213.1,CAR93279.1,CAR93280.1,CAR93281.1,CAR93282.1,CAR93283.1,CAR93284.1,CAR93285.1,CAR93286.1,CAR93287.1,CAR93288.1,CAR93289.1,CG6554,CG6554 protein,CG6554-PA,CG6554-RA,DART1,Dart,Dart1,DmelCG6554,Dmel_CG6554,EC 2.1.1.319,FBan0006554,FBgn0037834,FBpp0081780,FBtr0082304,FM245353,FM245354,FM245355,FM245356,FM245357,FM245358,FM245359,FM245360,FM245361,FM245362,FM245363,LD28808p,NM_141760,NM_141760.3,NP_650017,NP_650017.1,Q9VGW7,Q9VGW7_DROME,UPI000007AF20,arginine methyltransferase 1,dart1,dme:Dmel_CG6554
Bub3	7227.FBpp0084831	https://smart.embl.de/smart/DDvec.cgi?smart=326:WD40(1|42)+WD40(45|82)+WD40(84|123)+WD40(126|163)+WD40(214|262)+	Bub3, isoform A; Bub3 functions in the "spindle assembly checkpoint (SAC)" pathway. This mitotic checkpoint pathway inhibits the APC/C complex and hence the transition from metaphase to anaphase, as long as there are free kinetochores that are not yet attached to the mitotic spindle in the cell. Bub3 is localized at the kinetochore during mitosis with maximal levels observed at free kinetochores. Together with other SAC proteins it forms mitotic checkpoint complexes that bind and inhibit the APC/C	43490,68354,AA201105,AA817578,AAD13398.1,AAD21971.1,AAD44035.1,AAF56914.1,AAM49895.1,AC007892,ACQ99842.1,AF075594,AF088846,AF106679,AW942679,AY118526,BT083437,BUB3,Bub3,Bub3, isoform A,Bub3, isoform B,Bub3-PA,Bub3-PB,Bub3-RA,CG7581,CG7581-PA,CG7581-RA,Dmbub3,DmelCG7581,Dmel_CG7581,FBan0007581,FBgn0025457,FBpp0084831,FBtr0085465,FI07632p,NM_058033,NM_058033.3,NP_001287587,NP_001287587.1,NP_477381,NP_477381.1,O76523,Q9VAJ2,Q9VAJ2_DROME,Q9XYF7,UPI00000820C8,bub3,dBUB3,dme:Dmel_CG7581
CG10131	7227.FBpp0086628	https://smart.embl.de/smart/DDvec.cgi?smart=315:Pfam_3HCDH_N(5|187)+Pfam_3HCDH(189|272)+	RE67096p; NAD+ binding; 3-hydroxyacyl-CoA dehydrogenase activity. It is involved in the biological process described with: oxidation-reduction process; fatty acid metabolic process	1.1.1.45,36624,AAF58227.1,AAL39334.1,AAV36867.1,AI404334,AW941856,AY069189,BT015982,CG10131,CG10131-PA,CG10131-RA,DmelCG10131,Dmel_CG10131,EC 1.1.1.45,FBan0010131,FBgn0033949,FBpp0086628,FBtr0087499,NM_137130,NM_137130.2,NP_610974,NP_610974.1,Q5U1B0,Q5U1B0_DROME,Q8T0L5,RE67096p,UPI000007AAB5,dme:Dmel_CG10131,uncharacterized protein
CG10306	7227.FBpp0071587	https://smart.embl.de/smart/DDvec.cgi?smart=222:Pfam_CSN8_PSD8_EIF3K(64|204)+	Eukaryotic translation initiation factor 3 subunit K; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation	37475,63100,AA390301,AAF46753.1,AAL28616.1,AI297666,AI515530,AI945850,AI946913,AY061068,CG10306,CG10306-PA,CG10306-RA,DmelCG10306,EIF3K_DROME,FBan0010306,FBgn0034654,FBpp0071587,FBtr0071670,NM_137760,NM_137760.2,NP_611604,NP_611604.1,Q9W2D9,UPI00001245A1,dme:Dmel_CG10306,eIF-3 p25,eIF3k,uncharacterized protein
CG10407	7227.FBpp0082691	https://smart.embl.de/smart/DDvec.cgi?smart=259:JHBP(32|259)+	Uncharacterized protein, isoform A; It is involved in the biological process described with: multicellular organism reproduction	41949,67002,AAF55266.1,ACJ49255.1,ACO72854.1,AI946990,B7ZWP8,BT050590,BT082017,C1C588,CG10407,CG10407-PA,CG10407-PB,CG10407-RA,DmelCG10407,Dmel_CG10407,FBan0010407,FBgn0038395,FBpp0082691,FBtr0083237,NM_142262,NM_142262.2,NP_001262622,NP_001262622.1,NP_650519,NP_650519.1,Q9VEZ6,Q9VEZ6_DROME,UPI0000080BDB,Uncharacterized protein, isoform A,Uncharacterized protein, isoform B,cg10407,dme:Dmel_CG10407,uncharacterized protein, isoform B
CG10424	7227.FBpp0074800	https://smart.embl.de/smart/DDvec.cgi?smart=300:Pfam_Carb_kinase(37|288)+	ATP-dependent (S)-NAD(P)H-hydrate dehydratase; Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration; Belongs to the NnrD/CARKD family	4.2.1.93,40085,65362,AAF49189.1,AAL28213.1,AI109745,AI402157,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,ATP-dependent NAD(P)HX dehydratase,AY060665,CG10424,CG10424-PA,CG10424-RA,CZ480966,CZ480967,DmelCG10424,EC 4.2.1.93,FBan0010424,FBgn0036848,FBpp0074800,FBtr0075033,NM_140833,NM_140833.3,NNRD_DROME,NP_649090,NP_649090.1,Q9VVW8,UPI000007931D,dme:Dmel_CG10424,uncharacterized protein
CG10467	7227.FBpp0076771	https://smart.embl.de/smart/DDvec.cgi?smart=364:Pfam_Aldose_epim(25|359)+	Aldose 1-epimerase; Converts alpha-aldose to the beta-anomer	38697,5.1.3.3,AAF50699.1,AAM48443.1,ACM16696.1,ACS92849.1,AY118414,Aldose 1-epimerase,BI484766,BT057986,BT088877,C5WLR2,CG10467,CG10467-PA,CG10467-RA,CZ482814,CZ487173,DmelCG10467,Dmel_CG10467,EC 5.1.3.3,FBan0010467,FBgn0035679,FBpp0076771,FBtr0077063,Galactose mutarotase,NM_139769,NM_139769.1,NP_648026,NP_648026.1,Q8MT28,Q9VRU1,Q9VRU1_DROME,UPI000007D502,dme:Dmel_CG10467,uncharacterized protein
CG10646	7227.FBpp0075704	https://smart.embl.de/smart/DDvec.cgi?smart=383:WD40(215|256)+WD40(260|300)+WD40(332|372)+	annotation not available	39426,AAF49910.1,AAL90403.1,AX260090,AY089665,BI576747,CG10646,CG10646-PA,CG10646-RA,DmelCG10646,Dmel_CG10646,FBan0010646,FBgn0036292,FBgn0046378,FBpp0075704,FBtr0075972,NM_140324,NM_140324.2,NP_648581,NP_648581.1,Q9VTY5,Q9VTY5_DROME,RH33377p,UPI000007984A,anon-WO0172774.52,dme:Dmel_CG10646,uncharacterized protein
CG11070	7227.FBpp0078927	https://smart.embl.de/smart/DDvec.cgi?smart=993:Pfam_Ufd2P_core(251|899)+Ubox(918|981)+	BcDNA.LD34475; Ubiquitin-ubiquitin ligase activity. It is involved in the biological process described with: ubiquitin-dependent protein catabolic process; protein ubiquitination	2.3.2.27,33932,AA990665,AAD55442.1,AAF52416.2,AF181657,AQ073712,AQ073713,BcDNA.LD34475,BcDNA:LD34475,CG 11070,CG11070,CG11070-PA,CG11070-RA,DmelCG11070,Dmel_CG11070,E4 A,EC 2.3.2.27,FBan0011070,FBgn0028467,FBpp0078927,FBtr0079297,NM_135216,NM_135216.3,NP_609060,NP_609060.1,Q9U4F8,Q9U4F8_DROME,Q9VMA5,UBE4A,UFD2a,UPI000007741B,dme:Dmel_CG11070,uncharacterized protein
CG11200	7227.FBpp0085611	https://smart.embl.de/smart/DDvec.cgi?smart=355:SIGNAL(1|16)+Pfam_adh_short_C2(72|290)+	Carbonyl reductase (NADPH) activity. It is involved in the biological process described with: metabolic process; Belongs to the short-chain dehydrogenases/reductases (SDR) family	37301,62956,AAF57481.1,AAF57482.1,AAL47985.1,AI388830,AW940757,AY070514,CG11200,CG11200-PA,CG11200-PB,CG11200-PC,CG11200-RA,CG11200-RB,CZ472737,CZ473031,Carbonyl reductase,Carbonyl reductase, isoform A,Carbonyl reductase, isoform B,Carbonyl reductase, isoform C,DmelCG11200,Dmel_CG11200,FBan0011200,FBgn0034500,FBpp0085611,FBpp0085612,FBtr0086299,FBtr0086300,GH19857p,NM_137627,NM_137627.3,NM_166388,NM_166388.2,NP_001286630,NP_001286630.1,NP_611471,NP_611471.1,NP_725952,NP_725952.1,Q7K0F7,Q7K0F7_DROME,UPI00000076A0,carbonyl reductase, isoform C,dme:Dmel_CG11200
CG11999	7227.FBpp0078450	https://smart.embl.de/smart/DDvec.cgi?smart=216:SIGNAL(1|21)+MIR(24|78)+MIR(86|141)+MIR(143|196)+	annotation not available	40637,65848,AA950046,AAF52043.1,AAM50667.1,AI389952,AY118807,BEST:LD29996,CG-11999,CG11999,CG11999-PA,CG11999-RA,CL528111,DmelCG11999,Dmel_CG11999,FBan0011999,FBgn0037312,FBgn0046257,FBpp0078450,FBtr0078807,GH21273p,NM_141270,NM_141270.1,NP_649527,NP_649527.1,Q9VNA3,Q9VNA3_DROME,UPI0000077FDD,dme:Dmel_CG11999,uncharacterized protein
CG12384	7227.FBpp0087252	https://smart.embl.de/smart/DDvec.cgi?smart=96:Pfam_DAP(9|96)+	annotation not available	36224,AA694790,AAF58654.2,AAL39295.1,AAN71533.1,AAR31119.1,AFH08019,AI386777,AI945939,AW940642,AY069150,BI611232,BI628832,BT001778,BT011048,BcDNA:GH16986,BcDNA:RH17411,CG12384,CG12384-PA,CG12384-PB,CG12384-RA,CG12384-RB,CZ489404,CZ489405,DmelCG12384,Dmel_CG12384,FBan0012384,FBgn0033624,FBgn0064838,FBgn0064965,FBpp0087252,FBpp0293241,FBtr0088155,FBtr0304698,GEO09647p1,NM_001259336,NM_001259336.1,NM_136832,NM_136832.3,NP_001246265,NP_001246265.1,NP_610676,NP_610676.2,Q7JRC0,Q7JRC0_DROME,RH17411p,RH57585p,UPI0000083D1F,UPI000237F4BE,dme:Dmel_CG12384,uncharacterized protein
CG12896	7227.FBpp0087406	https://smart.embl.de/smart/DDvec.cgi?smart=220:Pfam_AhpC-TSA(3|141)+Pfam_1-cysPrx_C(161|201)+	DI01187p; Peroxiredoxin activity. It is involved in the biological process described with: oxidation-reduction process; mesoderm development	36101,61919,A1Z893,A1Z893_DROME,AAF58796.2,AAL68257.1,ADY17712.1,AI295432,AI945346,AOP2-related,AY075444,BEST:LD11278,BI165577,BT126013,CG12896,CG12896-PA,CG12896-RA,DI01187p,DPx-2540-1 variant,DmelCG12896,Dmel_CG12896,FBan0012896,FBgn0033521,FBgn0040497,FBpp0087406,FBtr0088315,NM_136740,NM_136740.3,NP_610584,NP_610584.2,RH54193,UPI0000075F9B,dme:Dmel_CG12896,uncharacterized protein
