"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"40","Neural conserved at 73EF, isoform F OS=Drosophila melanogaster GN=Nc73EF PE=1 SV=1",7.869,7.229,7.29,7.052,7.466,7.335,7.6,7.983,8.31,8.489,0.562,0.075,"Neural conserved at 73EF, isoform F","Nc73EF","no_change"
"41","Uncharacterized protein, isoform T OS=Drosophila melanogaster GN=CG34417 PE=1 SV=1",10.505,10.732,10.503,10.619,10.678,10.411,10.382,10.237,10.177,10.316,-0.303,0.015,"Uncharacterized protein, isoform T","CG34417","no_change"
"42","Clathrin heavy chain OS=Drosophila melanogaster GN=Chc PE=1 SV=1",12.079,11.881,12.014,11.957,12.003,12.033,12.11,12.191,12.217,12.314,0.186,0.051,"Clathrin heavy chain","Chc","no_change"
"43","Pyruvate carboxylase OS=Drosophila melanogaster GN=PCB PE=1 SV=1",12.261,11.97,12.088,12.017,12.118,12.091,12.189,12.511,12.742,13.048,0.426,0.068,"Pyruvate carboxylase","PCB","no_change"
"44","Zipper, isoform I OS=Drosophila melanogaster GN=zip PE=1 SV=1",5.15,3.156,4.518,3.423,4.101,4.705,5.53,6.274,6.765,7.468,2.079,0.02,"Zipper, isoform I","zip","up"
"45","Arginine kinase, isoform E OS=Drosophila melanogaster GN=Argk PE=1 SV=1",7.062,6.11,6.528,6.02,6.391,6.592,7.106,7.884,8.219,8.514,1.24,0.027,"Arginine kinase, isoform E","Argk","up"
"46","Arginine kinase OS=Drosophila melanogaster GN=Argk PE=2 SV=2",6.463,5.741,6.198,5.63,6.064,5.962,6.535,7.661,7.797,8.288,1.23,0.041,"Arginine kinase","Argk","up"
"47","CG9674, isoform F OS=Drosophila melanogaster GN=Dmel\CG9674 PE=1 SV=1",11.946,11.855,11.883,11.831,11.89,11.877,12.001,11.986,12.035,12.101,0.119,0.107,"CG9674, isoform F","Dmel\CG9674","no_change"
"48","Yolk protein 1, isoform B OS=Drosophila melanogaster GN=Yp1 PE=1 SV=1",11.968,11.529,11.849,11.921,11.705,12.213,12.427,12.654,13.01,13.185,0.903,0.01,"Yolk protein 1, isoform B","Yp1","no_change"
"49","Fatty acid synthase 3 OS=Drosophila melanogaster GN=FASN3 PE=1 SV=3",11.595,11.391,11.53,11.44,11.514,11.551,11.654,11.737,11.712,12.012,0.239,0.052,"Fatty acid synthase 3","FASN3","no_change"
"50","Elongation factor 2 OS=Drosophila melanogaster GN=EF2 PE=1 SV=4",12.484,12.301,12.357,12.294,12.334,12.397,12.551,12.652,12.827,13.017,0.335,0.039,"Elongation factor 2","EF2","no_change"
"51","Vitellogenin-2 OS=Drosophila melanogaster GN=Yp2 PE=1 SV=2",12.354,12.71,12.271,12.573,12.11,12.597,12.744,12.845,13.105,13.205,0.496,0.028,"Vitellogenin-2","Yp2","no_change"
"52","Enolase OS=Drosophila melanogaster GN=Eno PE=1 SV=2",12.629,12.747,12.556,12.559,12.611,12.626,12.724,12.811,12.953,13.144,0.231,0.077,"Enolase","Eno","no_change"
"53","Z band alternatively spliced PDZ-motif protein 52, isoform N OS=Drosophila melanogaster GN=Zasp52 PE=1 SV=1",5.505,5.864,5.35,5.068,5.966,4.342,4.654,4.166,4.582,5.699,-0.862,0.039,"Z band alternatively spliced PDZ-motif protein 52, isoform N","Zasp52","no_change"
"54","Hsc70Cb, isoform A OS=Drosophila melanogaster GN=Hsc70Cb PE=1 SV=1",7.035,7.328,7.244,7.357,7.118,7.243,6.928,6.947,6.719,6.814,-0.286,0.054,"Hsc70Cb, isoform A","Hsc70Cb","no_change"
"55","Heat shock 70 kDa protein cognate 5 OS=Drosophila melanogaster GN=Hsc70-5 PE=1 SV=2",11.977,11.906,11.891,11.818,11.916,11.787,11.917,11.972,12.085,12.203,0.091,0.359,"Heat shock 70 kDa protein cognate 5","Hsc70-5","no_change"
"56","Paramyosin, long form OS=Drosophila melanogaster GN=Prm PE=1 SV=1",9.971,10.243,10.04,9.879,10.021,9.762,9.845,9.967,9.955,12.106,0.296,0.566,"Paramyosin, long form","Prm","no_change"
"57","Nucleoporin 358kD, isoform B OS=Drosophila melanogaster GN=Nup358 PE=1 SV=1",11.427,11.38,11.46,11.456,11.369,11.444,11.523,11.503,11.542,11.497,0.083,0.174,"Nucleoporin 358kD, isoform B","Nup358","no_change"
"58","Fructose-bisphosphate aldolase OS=Drosophila melanogaster GN=Ald PE=1 SV=1",12.665,12.853,12.616,12.64,12.734,12.548,12.55,12.501,12.609,12.91,-0.078,0.476,"Fructose-bisphosphate aldolase","Ald","no_change"
"59","Phosphoglycerate kinase OS=Drosophila melanogaster GN=Pgk PE=3 SV=1",12.044,11.638,11.78,11.649,11.843,11.825,12.028,12.319,12.568,12.813,0.52,0.044,"Phosphoglycerate kinase","Pgk","no_change"
"60","Dodeca-satellite-binding protein 1, isoform A OS=Drosophila melanogaster GN=Dp1 PE=1 SV=1",12.108,12.062,12.122,12.105,12.084,12.123,12.125,12.063,12.039,12.035,-0.019,0.757,"Dodeca-satellite-binding protein 1, isoform A","Dp1","no_change"
"61","Actin, indirect flight muscle OS=Drosophila melanogaster GN=Act88F PE=1 SV=1",8.768,9.45,9.514,9.39,8.874,9.385,9.581,9.564,10.017,11.298,0.77,0.093,"Actin, indirect flight muscle","Act88F","no_change"
"62","Uncharacterized protein, isoform H OS=Drosophila melanogaster GN=Dmel\CG43078 PE=1 SV=1",9.273,9.454,9.336,9.431,9.363,9.254,9.233,9.035,9.006,9.026,-0.261,0.023,"Uncharacterized protein, isoform H","Dmel\CG43078","no_change"
"63","AT02348p OS=Drosophila melanogaster GN=UQCR-C2 PE=1 SV=1",11.741,11.116,11.469,11.16,11.431,11.316,11.549,11.675,11.882,12.217,0.344,0.131,"AT02348p","UQCR-C2","no_change"
"64","Papilin OS=Drosophila melanogaster GN=Ppn PE=1 SV=2",11.006,11.227,11.018,11.134,10.945,11.131,11.137,10.93,10.873,10.973,-0.057,0.565,"Papilin","Ppn","no_change"
"65","Actin, larval muscle OS=Drosophila melanogaster GN=Act79B PE=1 SV=2",8.962,10.172,10.022,10.164,8.886,9.968,10.131,10.263,10.357,11.332,0.769,0.092,"Actin, larval muscle","Act79B","no_change"
"66","Heat shock 70 kDa protein cognate 4 OS=Drosophila melanogaster GN=Hsc70-4 PE=1 SV=3",12.258,11.944,12.047,11.949,11.959,12.195,12.42,12.591,12.758,13.087,0.579,0.021,"Heat shock 70 kDa protein cognate 4","Hsc70-4","no_change"
"67","Voltage-dependent anion-selective channel OS=Drosophila melanogaster GN=porin PE=1 SV=3",12.375,12.395,12.323,12.186,12.31,12.197,12.322,12.416,12.537,12.828,0.142,0.301,"Voltage-dependent anion-selective channel","porin","no_change"
"68","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic OS=Drosophila melanogaster GN=Gpdh PE=1 SV=3",12.468,11.942,12.203,11.992,12.349,12.445,12.432,12.716,12.85,13.279,0.554,0.032,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic","Gpdh","no_change"
"69","Calcium-transporting ATPase OS=Drosophila melanogaster GN=PMCA PE=1 SV=5",6.807,6.737,6.722,6.742,6.625,6.773,6.811,6.679,6.831,6.974,0.087,0.288,"Calcium-transporting ATPase","PMCA","no_change"
"70","Karst, isoform E OS=Drosophila melanogaster GN=kst PE=1 SV=2",11.234,11.589,11.254,11.382,11.383,11.31,11.167,11.164,11.057,11.224,-0.184,0.086,"Karst, isoform E","kst","no_change"
"71","Purity of essence, isoform B OS=Drosophila melanogaster GN=poe PE=4 SV=1",11.088,11.052,11.119,11.084,11.014,11.15,11.212,11.127,11.194,11.11,0.087,0.161,"Purity of essence, isoform B","poe","no_change"
"72","60 kDa heat shock protein, mitochondrial OS=Drosophila melanogaster GN=Hsp60 PE=1 SV=3",12.001,12.107,12.108,12.129,12.038,12.09,12.113,12.02,11.996,12.076,-0.017,0.798,"60 kDa heat shock protein, mitochondrial","Hsp60","no_change"
"73","Hsc70Cb, isoform G OS=Drosophila melanogaster GN=Hsc70Cb PE=1 SV=1",5.499,4.754,5.369,5.158,5.252,5.28,5.291,5.46,5.624,5.387,0.202,0.231,"Hsc70Cb, isoform G","Hsc70Cb","no_change"
"74","Calcium-transporting ATPase OS=Drosophila melanogaster GN=PMCA PE=1 SV=3",7.987,8.22,8.072,8.156,8.099,7.956,7.963,7.818,7.766,7.704,-0.265,0.023,"Calcium-transporting ATPase","PMCA","no_change"
"75","Protein disulfide-isomerase OS=Drosophila melanogaster GN=Pdi PE=3 SV=1",11.679,11.506,11.557,11.598,11.589,11.709,11.705,11.864,11.908,11.952,0.242,0.024,"Protein disulfide-isomerase","Pdi","no_change"
"76","Rhea, isoform B OS=Drosophila melanogaster GN=rhea PE=1 SV=1",11.534,11.763,11.532,11.595,11.695,11.422,11.435,11.387,11.323,11.356,-0.239,0.019,"Rhea, isoform B","rhea","no_change"
"77","Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Drosophila melanogaster GN=Gapdh2 PE=1 SV=2",10.598,10.427,10.551,10.425,10.491,10.401,10.647,10.742,10.998,11.194,0.298,0.094,"Glyceraldehyde-3-phosphate dehydrogenase 2","Gapdh2","no_change"
"78","CG8036, isoform B OS=Drosophila melanogaster GN=CG8036 PE=1 SV=3",12.06,11.897,11.876,11.843,11.948,12.019,12.09,12.299,12.393,12.43,0.321,0.025,"CG8036, isoform B","CG8036","no_change"
"79","Glycerol-3-phosphate dehydrogenase OS=Drosophila melanogaster GN=Gpo-1 PE=1 SV=1",12.331,11.894,12.041,11.877,12.127,11.91,12.117,12.476,12.724,13.144,0.42,0.13,"Glycerol-3-phosphate dehydrogenase","Gpo-1","no_change"
"80","Probable citrate synthase, mitochondrial OS=Drosophila melanogaster GN=kdn PE=2 SV=1",12.229,12.081,12.054,11.952,12.119,11.977,12.135,12.27,12.55,12.92,0.283,0.167,"Probable citrate synthase, mitochondrial","kdn","no_change"
"81","LD30155p OS=Drosophila melanogaster GN=lost PE=1 SV=1",11.896,11.776,11.883,11.937,11.802,11.924,11.9,11.937,12.061,12.098,0.125,0.119,"LD30155p","lost","no_change"
"82","Tripeptidyl-peptidase 2 OS=Drosophila melanogaster GN=TppII PE=1 SV=2",11.41,11.341,11.357,11.409,11.291,11.447,11.553,11.683,11.777,11.737,0.278,0.02,"Tripeptidyl-peptidase 2","TppII","no_change"
"83","Bicoid stability factor OS=Drosophila melanogaster GN=bsf PE=1 SV=2",11.764,11.636,11.672,11.57,11.599,11.712,11.784,11.875,11.924,11.984,0.207,0.038,"Bicoid stability factor","bsf","no_change"
"84","Tubulin beta-1 chain OS=Drosophila melanogaster GN=betaTub56D PE=1 SV=2",11.696,11.445,11.535,11.42,11.51,11.566,11.706,11.851,11.958,12.072,0.309,0.038,"Tubulin beta-1 chain","betaTub56D","no_change"
"85","Laminin subunit alpha OS=Drosophila melanogaster GN=LanA PE=1 SV=2",11.377,11.354,11.201,11.269,11.406,11.109,10.991,10.952,11.062,11.19,-0.26,0.019,"Laminin subunit alpha","LanA","no_change"
"86","Protein 4.1 homolog OS=Drosophila melanogaster GN=cora PE=1 SV=1",11.537,11.451,11.452,11.402,11.538,11.3,11.374,11.41,11.484,11.683,-0.026,0.798,"Protein 4.1 homolog","cora","no_change"
"87","Yolk protein 3, isoform B OS=Drosophila melanogaster GN=Yp3 PE=1 SV=1",12.107,12.024,11.966,12.073,11.71,12.392,12.633,12.766,12.918,12.981,0.762,0.004,"Yolk protein 3, isoform B","Yp3","no_change"
"88","Putative vitellogenin receptor OS=Drosophila melanogaster GN=yl PE=1 SV=2",10.986,10.708,10.903,10.938,10.612,11.077,11.336,11.374,11.383,11.101,0.425,0.015,"Putative vitellogenin receptor","yl","no_change"
"89","Megator, isoform B OS=Drosophila melanogaster GN=Mtor PE=1 SV=1",11.148,11.276,11.215,11.271,11.146,11.099,11.107,11.086,11.017,10.901,-0.169,0.05,"Megator, isoform B","Mtor","no_change"
"90","ATP-citrate synthase OS=Drosophila melanogaster GN=ATPCL PE=1 SV=1",6.468,5.528,6.317,5.99,6.371,6.458,6.296,6.626,6.748,6.922,0.475,0.065,"ATP-citrate synthase","ATPCL","no_change"
"91","Zormin, isoform J OS=Drosophila melanogaster GN=zormin PE=1 SV=1",11.309,11.409,11.185,11.186,11.409,11.047,11.152,11.122,11.124,11.48,-0.115,0.318,"Zormin, isoform J","zormin","no_change"
"92","Eukaryotic translation initiation factor 4G, isoform B OS=Drosophila melanogaster GN=eIF4G1 PE=1 SV=1",11.363,11.053,11.283,11.12,11.163,11.237,11.298,11.395,11.463,11.43,0.168,0.095,"Eukaryotic translation initiation factor 4G, isoform B","eIF4G1","no_change"
"93","LP18708p OS=Drosophila melanogaster GN=nocte PE=1 SV=4",9.834,9.834,9.916,9.87,9.687,9.896,9.97,9.923,9.826,9.594,0.014,0.903,"LP18708p","nocte","no_change"
"94","Catalase OS=Drosophila melanogaster GN=Cat PE=1 SV=2",11.279,11.429,11.354,11.298,11.338,11.194,11.391,11.421,11.425,11.673,0.081,0.438,"Catalase","Cat","no_change"
"95","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Drosophila melanogaster GN=SdhA PE=2 SV=3",11.83,11.92,11.815,11.755,11.81,11.661,11.731,11.784,11.836,12.05,-0.013,0.899,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","SdhA","no_change"
"96","NADH dehydrogenase (Ubiquinone) 75 kDa subunit, isoform B OS=Drosophila melanogaster GN=ND-75 PE=1 SV=1",11.461,11.197,11.224,11.17,11.309,11.463,11.507,11.724,12.031,12.323,0.537,0.028,"NADH dehydrogenase (Ubiquinone) 75 kDa subunit, isoform B","ND-75","no_change"
"97","ATP-citrate synthase OS=Drosophila melanogaster GN=ATPCL PE=1 SV=1",4.9,4.937,4.953,4.695,5.011,5.442,4.916,4.784,5.169,5.019,0.167,0.268,"ATP-citrate synthase","ATPCL","no_change"
"98","ATP-citrate synthase OS=Drosophila melanogaster GN=ATPCL PE=1 SV=1",4.609,4.631,4.792,4.84,4.92,5.264,4.871,5.033,4.879,4.833,0.217,0.098,"ATP-citrate synthase","ATPCL","no_change"
"99","Transitional endoplasmic reticulum ATPase TER94 OS=Drosophila melanogaster GN=TER94 PE=1 SV=1",11.349,11.086,11.269,11.197,11.144,11.302,11.449,11.539,11.625,11.608,0.296,0.022,"Transitional endoplasmic reticulum ATPase TER94","TER94","no_change"
"100","Restin homolog OS=Drosophila melanogaster GN=CLIP-190 PE=1 SV=1",11.15,11.126,11.127,11.056,11.223,11.103,11.019,10.997,10.941,11.009,-0.123,0.089,"Restin homolog","CLIP-190","no_change"
"101","Bifunctional glutamate/proline--tRNA ligase OS=Drosophila melanogaster GN=GluProRS PE=1 SV=2",11.565,11.381,11.467,11.46,11.437,11.535,11.624,11.76,11.838,11.816,0.252,0.026,"Bifunctional glutamate/proline--tRNA ligase","GluProRS","no_change"
"102","CG9485, isoform B OS=Drosophila melanogaster GN=CG9485 PE=1 SV=3",4.49,4.792,4.611,4.763,4.931,4.272,4.267,4.041,4.069,4.451,-0.497,0.012,"CG9485, isoform B","CG9485","no_change"
"103","LD07162p OS=Drosophila melanogaster GN=vig PE=1 SV=1",11.318,11.385,11.444,11.387,11.461,11.225,11.266,11.003,11.065,11.061,-0.275,0.017,"LD07162p","vig","no_change"
"104","CG9485, isoform C OS=Drosophila melanogaster GN=CG9485 PE=1 SV=1",5.598,4.694,4.958,4.738,5.329,4.975,5.465,5.711,6.072,6.292,0.639,0.074,"CG9485, isoform C","CG9485","no_change"
"105","BcDNA.GH08860 OS=Drosophila melanogaster GN=Tps1 PE=1 SV=1",11.575,11.525,11.409,11.291,11.545,11.333,11.412,11.775,11.875,12.111,0.232,0.207,"BcDNA.GH08860","Tps1","no_change"
"106","Paramyosin, short form OS=Drosophila melanogaster GN=Prm PE=2 SV=2",5.249,3.896,4.692,4.163,4.83,5.042,5.342,6.264,6.434,8.722,1.795,0.045,"Paramyosin, short form","Prm","up"
"107","Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Drosophila melanogaster GN=Gapdh1 PE=2 SV=2",9.915,10.104,9.984,9.904,9.91,9.807,9.944,9.86,9.869,10.06,-0.055,0.513,"Glyceraldehyde-3-phosphate dehydrogenase 1","Gapdh1","no_change"
"108","Actin-42A OS=Drosophila melanogaster GN=Act42A PE=1 SV=3",9.952,10.195,10.341,10.151,9.774,10.299,10.41,10.514,10.332,10.901,0.409,0.043,"Actin-42A","Act42A","no_change"
"109","Dumpy, isoform Q OS=Drosophila melanogaster GN=dpy PE=1 SV=1",8.937,9.574,9.249,9.371,9.144,9.224,9.043,8.865,8.677,9.03,-0.287,0.102,"Dumpy, isoform Q","dpy","no_change"
"110","Megalin, isoform A OS=Drosophila melanogaster GN=mgl PE=1 SV=2",10.655,10.839,10.724,10.744,10.83,10.737,10.7,10.623,10.63,10.558,-0.109,0.153,"Megalin, isoform A","mgl","no_change"
"111","Protein clueless OS=Drosophila melanogaster GN=clu PE=1 SV=1",11.321,11.288,11.328,11.289,11.213,11.208,11.236,11.302,11.305,11.244,-0.029,0.646,"Protein clueless","clu","no_change"
"112","ATP synthase subunit gamma, mitochondrial OS=Drosophila melanogaster GN=ATPsyngamma PE=2 SV=2",12.775,12.777,12.712,12.641,12.759,12.638,12.698,12.645,12.685,12.887,-0.022,0.79,"ATP synthase subunit gamma, mitochondrial","ATPsyngamma","no_change"
"113","Protein lava lamp OS=Drosophila melanogaster GN=lva PE=1 SV=2",9.928,10.174,10.165,10.212,10.003,10.161,9.995,9.924,9.85,9.807,-0.149,0.174,"Protein lava lamp","lva","no_change"
